+--------+--------+--------+--------+--------+-----+---------------+---------------------+---------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF       |        C_prim       |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9318672412786005 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9559647997546465 |
| No PCA |  RBF   | 0.0001 |   -    | 0.0001 |  10 |  (0.1, 1, 1)  |  0.9746534397510747 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8994804001292257 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9370669199401502 |
| No PCA |  RBF   | 0.0001 |   -    | 0.001  |  10 |  (0.1, 1, 1)  |  0.9477041457913632 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.6985321396173874 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8231181427043752 |
| No PCA |  RBF   | 0.0001 |   -    |  0.01  |  10 |  (0.1, 1, 1)  |  0.8091576008401965 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.25224127758432024 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5306994392122584 |
| No PCA |  RBF   | 0.0001 |   -    |  0.1   |  10 |  (0.1, 1, 1)  |  0.7347238412691679 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.23485060832743104 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4847872247982995 |
| No PCA |  RBF   | 0.0001 |   -    |   1    |  10 |  (0.1, 1, 1)  |  0.7365463149552909 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.36276546668123655 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5496558908182637 |
| No PCA |  RBF   | 0.001  |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9206784854824992 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9482816697296668 |
| No PCA |  RBF   | 0.001  |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.9745266693068967 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.915244957493172  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448858134000344 |
| No PCA |  RBF   | 0.001  |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9705905133397177 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8782410964177775 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9244158048787476 |
| No PCA |  RBF   | 0.001  |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.8164854424844356 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30812830346860764 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5623068729765216 |
| No PCA |  RBF   | 0.001  |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  |  0.7277150528118687 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2265980664201502 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47715655961600945 |
| No PCA |  RBF   | 0.001  |   -    |   1    | 0.1 |  (0.1, 1, 1)  |  0.7373878713395686 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.29763990638798643 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5175138888637776 |
| No PCA |  RBF   | 0.001  |   -    | 1e-05  |  1  |  (0.1, 1, 1)  |  0.9758848539768344 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9206784854824992 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9482816697296668 |
| No PCA |  RBF   | 0.001  |   -    | 0.0001 |  1  |  (0.1, 1, 1)  |  0.9745266693068967 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.915244957493172  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9448858134000344 |
| No PCA |  RBF   | 0.001  |   -    | 0.001  |  1  |  (0.1, 1, 1)  |  0.9705905133397177 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8782410964177775 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9244158048787476 |
| No PCA |  RBF   | 0.001  |   -    |  0.01  |  1  |  (0.1, 1, 1)  |  0.8164854424844356 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.30812830346860764 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5623068729765216 |
| No PCA |  RBF   | 0.001  |   -    |  0.1   |  1  |  (0.1, 1, 1)  |  0.7277150528118687 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2265980664201502 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.47715655961600945 |
| No PCA |  RBF   | 0.001  |   -    |   1    |  1  |  (0.1, 1, 1)  |  0.7373878713395686 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3200823848317655 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.528735128085667  |
| No PCA |  RBF   | 0.001  |   -    | 1e-05  |  10 |  (0.1, 1, 1)  |  0.9909969979737869 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9335367087920774 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9622668533829322 |
| No PCA |  RBF   | 0.001  |   -    | 0.0001 |  10 |  (0.1, 1, 1)  |  0.9600041949368622 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.7910050464713663 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8755046207041142 |
| No PCA |  RBF   | 0.001  |   -    | 0.001  |  10 |  (0.1, 1, 1)  |  0.9264496537551912 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.5213569031750425 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.7239032784651168 |
| No PCA |  RBF   | 0.001  |   -    |  0.01  |  10 |  (0.1, 1, 1)  |  0.8213428890207728 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.2785728502735397 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5499578696471562 |
| No PCA |  RBF   | 0.001  |   -    |  0.1   |  10 |  (0.1, 1, 1)  |  0.7375237295529271 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.23897978118427315 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4882517553686001 |
| No PCA |  RBF   | 0.001  |   -    |   1    |  10 |  (0.1, 1, 1)  |  0.7405725847153647 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.35954968734811266 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5500611360317387 |
| No PCA |  RBF   |  0.01  |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.9759725608815165 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9207157883197817 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9483441746006491 |
| No PCA |  RBF   |  0.01  |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.972041789562559  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.9012239037213086 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.9366328466419338 |
| No PCA |  RBF   |  0.01  |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.9660660670252914 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.8121357531986669 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.8891009101119791 |
